자치구명,위치,Latitude,Longitude
용산구,서울특별시 용산구 남산도서관(백범광장방면) 버스정류장(03-167),37.552925,126.981414
용산구,서울특별시 용산구 후암약수터(보성여중고입구방면) 버스정류장(03-170),37.548448,126.984135
용산구,서울특별시 용산구 보성여중고입구(후암약수터방면) 버스정류장(03-171),37.548448,126.984135
용산구,서울특별시 용산구 남산체육관(하얏트호텔방면) 버스정류장(03-174),37.538988,126.9958415
용산구,서울특별시 용산구 하얏트 호텔(남산체육관방면) 버스정류장(03-175)이광희뷰티크건너편,37.538988,126.9958415
용산구,"서울특별시 용산구 하얏트 호텔(서울시중부기술교육원,블루스퀘어방면) 버스정류장(03-176)",37.541258,127.003163
용산구,"서울특별시 용산구 보성여중고입구(용암초등학교,이태원2동주민센터방면) 버스정류장(용산2가동주민센타올라오는계단끝)(03-172)",37.546263,126.985613
용산구,서울특별시 용산구 LG유플러스앞 횡단보도(도심),37.5384272,126.9654442
용산구,서울특별시 용산구 한강로 2가 222-5(한강로 블루컷앞),37.5273169,126.9665244
용산구,서울특별시 용산구 한강로 2가 222-5(한강로 블루컷 건너편 용산역방향 횡단보도),37.5273169,126.9665244
용산구,서울특별시 용산구 용산우체국앞( 택시정류장앞 ),37.5298837,126.9648019
용산구,서울특별시 용산구 신용산역 마을버스정류장(03-561),37.529187,126.967886
용산구,서울특별시 용산구 KT 용산지점 마을버스정류장(03-564) 횡단보도,37.5322333,126.9713323
용산구,서울특별시 용산구 KT 앞 중앙버스정류장 횡단보도(피터팬부동산),37.5552915,126.9726675
용산구,서울특별시 용산구 숙대입구역 버스정류장(03-229),37.543257,126.972493
용산구,서울특별시 용산구 삼각지 안전지대 횡단보도 (LG자이아파트 앞 ),37.5350315,126.9734515
용산구,서울특별시 용산구 아웃백스테이크하우스 남영점앞,37.540597,126.971171
용산구,서울특별시 용산구 신한은행 숙명여대입구역점앞(서울역방면),37.5448707,126.9706098
